Time,Power (W)
0.002758502960205078,58.19
0.015092611312866211,58.19
0.027434110641479492,58.19
0.03972959518432617,58.19
0.05205082893371582,58.19
0.06441020965576172,58.19
0.07669806480407715,58.19
0.08895063400268555,58.19
0.10123682022094727,58.19
0.1135249137878418,58.19
0.12629461288452148,58.19
0.1385486125946045,58.19
0.15243792533874512,58.19
0.16478490829467773,58.19
0.17709684371948242,58.19
0.18933820724487305,58.19
0.20163583755493164,58.19
0.21392345428466797,58.19
0.22644686698913574,58.19
0.2387404441833496,58.19
0.2509782314300537,58.19
0.26331233978271484,58.19
0.27562785148620605,58.19
0.2878913879394531,58.19
0.3002135753631592,58.464
0.31362342834472656,58.464
0.3258638381958008,58.464
0.33819103240966797,58.464
0.35043978691101074,58.464
0.36276817321777344,58.464
0.3750777244567871,58.464
0.38737058639526367,58.464
0.39969444274902344,58.464
0.41195106506347656,58.464
0.4242672920227051,58.464
0.4365999698638916,58.464
0.44884705543518066,58.464
0.46117639541625977,58.464
0.47505903244018555,58.464
0.4873044490814209,58.464
0.49962711334228516,58.19
0.511876106262207,58.19
0.5241928100585938,58.19
0.5365481376647949,58.19
0.5488157272338867,58.19
0.5611763000488281,58.19
0.5755562782287598,58.19
0.5878696441650391,58.19
0.6001677513122559,58.464
0.6123967170715332,58.464
0.6246874332427979,58.464
0.6373147964477539,58.464
0.6496505737304688,58.464
0.6620101928710938,58.464
0.6763525009155273,58.464
0.6886005401611328,58.464
0.7009057998657227,58.464
0.7131497859954834,58.464
0.7254481315612793,58.464
0.7380461692810059,58.464
0.7503952980041504,58.464
0.7627174854278564,58.464
0.7767279148101807,58.464
0.7891945838928223,58.464
0.8015182018280029,58.464
0.8137590885162354,58.464
0.8260746002197266,58.464
0.8386445045471191,58.464
0.8510539531707764,58.464
0.8633878231048584,58.464
0.8776631355285645,58.464
0.8899023532867432,58.464
0.902209997177124,58.464
0.9144461154937744,58.464
0.9267592430114746,58.464
0.9390659332275391,58.464
0.951387882232666,58.464
0.9637041091918945,58.464
0.9759583473205566,58.464
0.988274335861206,58.464
1.0005922317504883,58.19
1.0128283500671387,58.19
1.0251185894012451,58.19
1.038696527481079,58.19
1.0510380268096924,58.19
1.0633893013000488,58.19
1.0756380558013916,58.19
1.0879533290863037,58.19
1.1002731323242188,58.19
1.112534761428833,58.19
1.1248579025268555,58.19
1.137103796005249,58.19
1.1499252319335938,58.19
1.1623616218566895,58.19
1.174746036529541,58.19
1.1870858669281006,58.19
1.2007331848144531,58.19
1.2129693031311035,58.19
1.225287914276123,58.19
1.2375245094299316,58.19
1.250044345855713,58.19
1.262408971786499,58.19
1.275444507598877,58.19
1.2880768775939941,58.19
1.300630807876587,58.464
1.312962293624878,58.464
1.3254573345184326,58.464
1.337770700454712,58.464
1.3508591651916504,58.464
1.3631906509399414,58.464
1.375580072402954,58.464
1.3883662223815918,58.464
1.4018845558166504,58.464
1.4141545295715332,58.464
1.4264860153198242,58.464
1.4388151168823242,58.464
1.4529914855957031,58.464
1.4657459259033203,58.464
1.4780592918395996,58.464
1.4908397197723389,58.464
1.5038349628448486,58.464
1.5162370204925537,58.464
1.5285725593566895,58.464
1.5422980785369873,58.464
1.5546257495880127,58.464
1.567075252532959,58.464
1.5826375484466553,58.464
1.5960028171539307,58.464
1.6084377765655518,58.464
1.6230168342590332,58.464
1.6352639198303223,58.464
1.647552728652954,58.464
1.660038948059082,58.464
1.6723718643188477,58.464
1.684666633605957,58.464
1.6969037055969238,58.464
1.7092194557189941,58.464
1.7214536666870117,58.464
1.7337563037872314,58.464
1.746062994003296,58.464
1.758305311203003,58.464
1.770629644393921,58.464
1.7842011451721191,58.464
1.797025203704834,58.464
1.8093912601470947,58.464
1.8216934204101562,58.464
1.8340227603912354,58.464
1.846360683441162,58.464
1.8586206436157227,58.464
1.8720896244049072,58.464
1.8849279880523682,58.464
1.8971962928771973,58.464
1.9095029830932617,58.19
1.921809196472168,58.19
1.934117317199707,58.19
1.9465105533599854,58.19
1.958817481994629,58.19
1.9712669849395752,58.19
1.9855766296386719,58.19
1.9983742237091064,58.19
2.0107996463775635,58.464
2.0230674743652344,58.464
2.03537917137146,58.464
2.0477099418640137,58.464
2.059962272644043,58.464
2.073404312133789,58.464
2.0863964557647705,58.464
2.0994272232055664,58.464
2.1127567291259766,58.464
2.127725124359131,58.464
2.142554998397827,58.464
2.157559633255005,58.464
2.172909736633301,58.464
2.1880745887756348,58.464
2.2005834579467773,58.464
2.214022397994995,58.404
2.2274556159973145,58.404
2.243131399154663,58.404
2.2586653232574463,58.404
2.271613121032715,58.404
2.2853944301605225,58.404
2.298159599304199,58.404
