timestamp,power_usage
1684821642.9842057,66.561
1684821642.9886131,66.561
1684821642.992982,66.561
1684821642.9973407,66.561
1684821643.0037882,66.561
1684821643.0081284,66.561
1684821643.0124907,66.561
1684821643.0168524,66.561
1684821643.0212157,66.561
1684821643.02564,66.561
1684821643.0299957,66.561
1684821643.034455,66.561
1684821643.0388129,66.561
1684821643.0437424,66.561
1684821643.048099,66.561
1684821643.0524557,66.561
1684821643.0568225,66.561
1684821643.0611758,66.561
1684821643.066186,165.085
1684821643.070541,165.085
1684821643.0748856,165.085
1684821643.0792627,165.085
1684821643.0865953,165.085
1684821643.0909758,165.085
1684821643.0953546,165.085
1684821643.0997307,165.085
1684821643.1050668,165.085
1684821643.1094599,165.085
1684821643.11383,165.085
1684821643.1181853,165.085
1684821643.1245837,165.085
1684821643.1306643,165.085
1684821643.135144,165.085
1684821643.141311,165.085
1684821643.1457024,165.085
1684821643.149881,165.085
1684821643.1540444,165.085
1684821643.158213,165.085
1684821643.1623785,165.085
1684821643.167418,184.573
1684821643.171583,184.573
1684821643.1757653,184.573
1684821643.1799242,184.573
1684821643.185228,184.573
1684821643.1893883,184.573
1684821643.1935542,184.573
1684821643.197719,184.573
1684821643.2018895,184.573
1684821643.206572,184.573
1684821643.2107384,184.573
1684821643.2149196,184.573
1684821643.2190742,184.573
1684821643.2232506,184.573
1684821643.2274678,184.573
1684821643.2316415,184.573
1684821643.2375607,184.573
1684821643.2418828,184.573
1684821643.2461193,184.573
1684821643.2502983,184.573
1684821643.2544703,184.573
1684821643.2586496,184.573
1684821643.2628183,184.573
1684821643.2670803,184.573
1684821643.2712555,174.056
1684821643.2754436,174.056
1684821643.2796276,174.056
1684821643.2838106,174.056
1684821643.2880607,174.056
1684821643.2922423,174.056
1684821643.2964122,174.056
1684821643.3005972,174.056
1684821643.306521,174.056
1684821643.3107982,174.056
1684821643.3149753,174.056
1684821643.3204255,174.056
1684821643.3264425,174.056
1684821643.3306525,174.056
1684821643.3348846,174.056
1684821643.341816,174.056
1684821643.3480306,174.056
1684821643.3519387,174.056
1684821643.3557906,174.056
1684821643.3596573,174.056
1684821643.3635283,174.056
1684821643.367459,174.056
1684821643.3713186,225.034
1684821643.3751867,225.034
1684821643.3790584,225.034
1684821643.3829365,225.034
1684821643.3873718,225.034
1684821643.3912432,225.034
1684821643.395114,225.034
1684821643.3989837,225.034
1684821643.402849,225.034
1684821643.4075015,225.034
1684821643.4114537,225.034
1684821643.4153142,225.034
1684821643.4191787,225.034
1684821643.423042,225.034
1684821643.4275692,225.034
1684821643.4314446,225.034
1684821643.4353013,225.034
1684821643.4405422,225.034
1684821643.444455,225.034
1684821643.4483821,225.034
1684821643.4522324,225.034
1684821643.4560943,225.034
1684821643.4599574,225.034
1684821643.4638145,225.034
1684821643.4679048,225.034
1684821643.471766,238.792
1684821643.4756315,238.792
1684821643.4819827,238.792
1684821643.4879537,238.792
1684821643.4918084,238.792
1684821643.4956825,238.792
1684821643.499548,238.792
1684821643.5034094,238.792
1684821643.5080464,238.792
1684821643.5120044,238.792
1684821643.5159473,238.792
1684821643.5198052,238.792
1684821643.523661,238.792
1684821643.5282319,238.792
1684821643.532105,238.792
1684821643.5421371,238.792
1684821643.5504558,238.792
1684821643.571115,238.792
1684821643.5762432,133.185
1684821643.5812278,133.185
1684821643.5862982,133.185
1684821643.5970469,133.185
1684821643.602037,133.185
1684821643.6151805,133.185
1684821643.6223903,133.185
1684821643.6263983,133.185
1684821643.6313288,133.185
1684821643.6352007,133.185
1684821643.639056,133.185
1684821643.6442492,133.185
1684821643.6481566,133.185
1684821643.6520853,133.185
1684821643.6559339,133.185
1684821643.6597984,133.185
1684821643.6636581,133.185
1684821643.6675172,133.185
1684821643.6716197,133.185
1684821643.6754854,235.489
1684821643.6793451,235.489
1684821643.6832125,235.489
1684821643.68707,235.489
1684821643.6917515,235.489
1684821643.695621,235.489
1684821643.6994758,235.489
1684821643.7033348,235.489
1684821643.7072039,235.489
1684821643.7117586,235.489
1684821643.7156096,235.489
1684821643.7195644,235.489
1684821643.7234185,235.489
1684821643.727273,235.489
1684821643.7318802,235.489
1684821643.7357414,235.489
1684821643.7396646,235.489
1684821643.7457426,235.489
1684821643.749753,235.489
1684821643.75367,235.489
1684821643.757525,235.489
1684821643.7613842,235.489
1684821643.7652373,235.489
1684821643.7690976,235.489
1684821643.7730346,235.489
1684821643.776886,237.035
1684821643.7807393,237.035
1684821643.7845986,237.035
1684821643.7884486,237.035
1684821643.7925558,237.035
1684821643.7964084,237.035
1684821643.8002553,237.035
1684821643.8041131,237.035
1684821643.8079715,237.035
1684821643.8126452,237.035
1684821643.8165019,237.035
1684821643.820842,237.035
1684821643.8247025,237.035
1684821643.8285568,237.035
1684821643.8327777,237.035
1684821643.8366358,237.035
1684821643.840496,237.035
1684821643.845629,237.035
1684821643.849525,237.035
1684821643.8534582,237.035
1684821643.8573153,237.035
1684821643.8611777,237.035
1684821643.8650331,237.035
1684821643.8688917,237.035
1684821643.8731306,237.035
1684821643.8788226,237.035
1684821643.8827026,237.035
1684821643.8865707,237.035
1684821643.8904386,237.035
1684821643.8943624,237.035
1684821643.898228,237.035
1684821643.9020839,237.035
1684821643.9059403,237.035
1684821643.909794,237.035
1684821643.9137168,237.035
1684821643.9175856,237.035
1684821643.9215503,237.035
1684821643.925507,237.035
1684821643.9293628,237.035
1684821643.9334686,237.035
1684821643.93734,237.035
1684821643.9412723,237.035
1684821643.9484847,237.035
1684821643.9539323,237.035
1684821643.9578006,237.035
1684821643.9616613,237.035
1684821643.965533,237.035
1684821643.9693868,237.035
1684821643.9740548,237.035
1684821643.9779246,222.333
1684821643.981781,222.333
1684821643.9856346,222.333
1684821643.9894886,222.333
1684821643.9941392,222.333
1684821643.9979942,222.333
1684821644.0018525,222.333
1684821644.0057049,222.333
1684821644.0095708,222.333
1684821644.0142553,222.333
1684821644.0181246,222.333
1684821644.0219796,222.333
1684821644.0259395,222.333
1684821644.0298,222.333
1684821644.0344691,222.333
1684821644.038337,222.333
1684821644.0421982,222.333
1684821644.0474856,222.333
1684821644.0513992,222.333
1684821644.055326,222.333
1684821644.0591838,222.333
1684821644.063039,222.333
1684821644.066897,222.333
1684821644.0707686,222.333
1684821644.0748503,222.333
1684821644.0787182,236.426
1684821644.0825665,236.426
1684821644.0864286,236.426
1684821644.0903542,236.426
1684821644.0949154,236.426
1684821644.098779,236.426
1684821644.102635,236.426
1684821644.1064925,236.426
1684821644.110349,236.426
1684821644.115004,236.426
1684821644.1189206,236.426
1684821644.1227806,236.426
1684821644.1282225,236.426
1684821644.1321418,236.426
1684821644.1361253,236.426
1684821644.1403217,236.426
1684821644.144368,236.426
1684821644.1505773,236.426
1684821644.1557896,236.426
1684821644.1596434,236.426
1684821644.1634917,236.426
1684821644.1673446,236.426
1684821644.1711981,236.426
1684821644.1758425,236.426
1684821644.1797004,228.938
1684821644.1835527,228.938
1684821644.1874175,228.938
1684821644.1912699,228.938
1684821644.195867,228.938
1684821644.1997356,228.938
1684821644.2035937,228.938
1684821644.2074502,228.938
1684821644.2113097,228.938
1684821644.215944,228.938
1684821644.2198672,228.938
1684821644.223785,228.938
1684821644.227923,228.938
1684821644.231877,228.938
1684821644.2362003,228.938
1684821644.2402403,228.938
1684821644.2441013,228.938
