,GPU0_power,GPU0_temp,GPU0_util,GPU0_mem,GPU0_clock,GPU1_power,GPU1_temp,GPU1_util,GPU1_mem,GPU1_clock,GPU2_power,GPU2_temp,GPU2_util,GPU2_mem,GPU2_clock,GPU3_power,GPU3_temp,GPU3_util,GPU3_mem,GPU3_clock,GPU4_power,GPU4_temp,GPU4_util,GPU4_mem,GPU4_clock,GPU5_power,GPU5_temp,GPU5_util,GPU5_mem,GPU5_clock,GPU6_power,GPU6_temp,GPU6_util,GPU6_mem,GPU6_clock,GPU7_power,GPU7_temp,GPU7_util,GPU7_mem,GPU7_clock
count,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0
mean,59.257136178861785,32.0,0.0,1.4044189453125,210.0,55.44612330623305,32.0,0.0,1.4044189453125,210.0,60.40338753387533,32.0,0.0,1.4044189453125,210.0,58.162271680216804,32.0,0.0,1.4044189453125,210.0,57.090476964769664,32.0,0.0,1.4044189453125,210.0,53.541102981029816,31.0,0.0,1.4044189453125,210.0,57.35029607046072,32.0,0.0,1.4044189453125,210.0,54.25201761517615,31.0,0.0,1.4044189453125,210.0
std,0.12630924017905187,0.0,0.0,0.0,0.0,0.06884259401973958,0.0,0.0,0.0,0.0,0.13294669845818338,0.0,0.0,0.0,0.0,0.038342542255289665,0.0,0.0,0.0,0.0,0.02210735312602478,0.0,0.0,0.0,0.0,0.13291554180051085,0.0,0.0,0.0,0.0,0.03820752980369956,0.0,0.0,0.0,0.0,0.09281962658471546,0.0,0.0,0.0,0.0
min,59.013000000000005,32.0,0.0,1.4044189453125,210.0,55.372,32.0,0.0,1.4044189453125,210.0,60.285,32.0,0.0,1.4044189453125,210.0,58.099,32.0,0.0,1.4044189453125,210.0,57.037,32.0,0.0,1.4044189453125,210.0,53.446000000000005,31.0,0.0,1.4044189453125,210.0,57.31100000000001,32.0,0.0,1.4044189453125,210.0,54.163000000000004,31.0,0.0,1.4044189453125,210.0
25%,59.073,32.0,0.0,1.4044189453125,210.0,55.428999999999995,32.0,0.0,1.4044189453125,210.0,60.285,32.0,0.0,1.4044189453125,210.0,58.158,32.0,0.0,1.4044189453125,210.0,57.095,32.0,0.0,1.4044189453125,210.0,53.446000000000005,31.0,0.0,1.4044189453125,210.0,57.31100000000001,32.0,0.0,1.4044189453125,210.0,54.218999999999994,31.0,0.0,1.4044189453125,210.0
50%,59.347,32.0,0.0,1.4044189453125,210.0,55.428999999999995,32.0,0.0,1.4044189453125,210.0,60.347,32.0,0.0,1.4044189453125,210.0,58.158,32.0,0.0,1.4044189453125,210.0,57.095,32.0,0.0,1.4044189453125,210.0,53.446000000000005,31.0,0.0,1.4044189453125,210.0,57.369,32.0,0.0,1.4044189453125,210.0,54.218999999999994,31.0,0.0,1.4044189453125,210.0
75%,59.347,32.0,0.0,1.4044189453125,210.0,55.428999999999995,32.0,0.0,1.4044189453125,210.0,60.558,32.0,0.0,1.4044189453125,210.0,58.158,32.0,0.0,1.4044189453125,210.0,57.095,32.0,0.0,1.4044189453125,210.0,53.727,31.0,0.0,1.4044189453125,210.0,57.369,32.0,0.0,1.4044189453125,210.0,54.218999999999994,31.0,0.0,1.4044189453125,210.0
max,59.347,32.0,0.0,1.4044189453125,210.0,55.71,32.0,0.0,1.4044189453125,210.0,60.62,32.0,0.0,1.4044189453125,210.0,58.488,32.0,0.0,1.4044189453125,210.0,57.369,32.0,0.0,1.4044189453125,210.0,53.782,31.0,0.0,1.4044189453125,210.0,57.698,32.0,0.0,1.4044189453125,210.0,54.5,31.0,0.0,1.4044189453125,210.0
