Time(ms),Power(mW)
0,66561
100,65959
200,65959
300,65959
400,65892
500,65959
600,65892
700,65892
800,65959
900,65959
1000,65959
1100,65959
1200,65959
1300,65959
1400,65959
1500,65959
1600,65892
1700,65959
1800,65959
1900,65959
2000,69265
2100,82490
2200,120165
2300,120719
2400,121047
2500,121047
2600,121047
2700,121047
2800,121321
2900,121445
3000,121321
3100,121445
3200,121781
3300,121656
3400,121781
3500,121656
3600,121656
3700,121656
3800,121656
3900,121656
4000,105143
4100,86864
4200,86679
4300,86591
4400,86679
4500,86591
4600,86679
4700,86679
4800,86591
4900,86953
5000,86070
5100,86070
5200,87473
5300,85982
5400,85982
5500,85742
5600,85982
5700,66561
5800,66561
