Time(ms),Power(mW)
0,66561
100,66561
200,66561
300,66561
400,66493
500,66287
600,66287
700,66287
800,66287
900,66493
1000,66493
1100,66493
1200,66287
1300,66220
1400,66287
1500,66287
1600,66287
1700,66287
1800,66220
1900,66287
2000,81469
2100,82679
2200,120719
2300,121321
2400,121321
2500,121656
2600,121656
2700,121656
2800,121781
2900,121656
3000,121781
3100,122055
3200,121930
3300,121930
3400,121930
3500,121930
3600,121930
3700,121930
3800,121930
3900,121930
4000,89558
4100,86864
4200,86953
4300,86591
4400,86591
4500,86591
4600,86679
4700,86591
4800,86343
4900,86343
5000,86591
5100,86343
5200,86679
5300,86679
5400,86343
5500,86255
5600,86679
5700,86591
5800,66842
