,GPU0,GPU1,GPU2,GPU3,GPU4,GPU5,GPU6,GPU7
count,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
mean,72.13267499999999,67.59902166666667,73.376305,72.59755666666666,71.27055,67.68559,74.70892666666667,69.43875
std,16.574241369194414,18.378593819145845,14.999613640499168,20.598388902348884,18.663774177581363,20.428449048719454,23.045538356295957,19.39950067953276
min,65.009,60.762,66.28699999999999,63.851000000000006,62.107,58.464,63.656000000000006,59.614
25%,65.959,61.707,67.444,65.079,63.367999999999995,59.736000000000004,65.143,60.762
50%,68.312,64.007,70.149,67.789,66.911,62.685,68.452,64.007
75%,72.771,67.306,74.14099999999999,71.8075,70.961,66.561,73.248,67.642
max,213.033,272.409,216.937,317.987,207.851,207.24099999999999,210.489,203.85299999999998
