,GPU0,GPU1,GPU2,GPU3,GPU4,GPU5,GPU6,GPU7
count,2659.0,2659.0,2659.0,2659.0,2659.0,2659.0,2659.0,2659.0
mean,196.38653478751414,189.7335806694246,203.6236995110944,195.98452764197066,186.6923553967657,186.78030876269275,203.0080503948853,194.904450921399
std,86.40145161705799,82.45047294687322,87.95051017369788,84.10279309245391,81.02431734571903,84.3744042690348,89.35125914420202,85.79646517549315
min,65.892,60.824,66.28699999999999,64.191,62.717,58.523999999999994,63.656000000000006,59.826
25%,145.5395,135.0675,145.174,140.171,135.74200000000002,130.288,143.503,139.77
50%,173.15400000000002,166.66299999999998,185.266,178.423,167.505,162.55200000000002,183.77599999999998,175.662
75%,276.916,283.21,290.631,283.15,269.2595,282.449,307.39799999999997,292.144
max,347.431,321.744,347.461,329.42199999999997,322.959,322.078,338.24699999999996,327.93699999999995
