timestamp,power_usage
1684740579.9513643,289.747
1684740579.9615078,289.747
1684740579.9717255,289.747
1684740579.9812667,284.957
1684740579.9911952,284.957
1684740580.0011706,284.957
1684740580.0106966,284.957
1684740580.0204902,284.957
1684740580.0309699,284.957
1684740580.040488,284.957
1684740580.0509431,284.957
1684740580.0638447,284.957
1684740580.0780997,284.957
1684740580.0923,287.678
1684740580.1064796,287.678
1684740580.1207182,287.678
1684740580.1348975,287.678
1684740580.1511369,287.678
1684740580.1633105,287.678
1684740580.1780152,287.678
1684740580.1917741,289.138
1684740580.2059307,289.138
1684740580.2201774,289.138
1684740580.2343967,289.138
1684740580.2485595,289.138
1684740580.2628243,289.138
1684740580.2770176,289.138
1684740580.2917209,290.683
1684740580.3053956,290.683
1684740580.319641,290.683
1684740580.333839,290.683
1684740580.3480074,290.683
1684740580.3622625,290.683
1684740580.3764822,290.683
1684740580.392444,286.775
1684740580.4048736,286.775
1684740580.4190927,286.775
1684740580.4341068,286.775
1684740580.44749,286.775
1684740580.4617183,286.775
1684740580.475936,286.775
1684740580.4901168,289.138
1684740580.5043297,289.138
1684740580.5186775,289.138
1684740580.5333178,289.138
1684740580.5469694,289.138
1684740580.5611877,289.138
1684740580.5772815,289.138
1684740580.5895624,294.255
1684740580.6037638,294.255
1684740580.6179755,294.255
1684740580.634387,294.255
1684740580.6464417,294.255
1684740580.6606343,294.255
1684740580.674846,294.255
1684740580.689158,290.347
1684740580.7032702,290.347
1684740580.7174368,290.347
1684740580.7319689,290.347
1684740580.7458453,290.347
1684740580.7600644,290.347
1684740580.7748344,290.347
1684740580.7884839,291.229
1684740580.802735,291.229
1684740580.8169656,291.229
1684740580.832749,291.229
1684740580.8453655,291.229
1684740580.8595607,291.229
1684740580.875595,291.229
1684740580.8879738,290.683
1684740580.9022017,290.683
1684740580.9163778,290.683
1684740580.9305887,290.683
1684740580.944797,290.683
1684740580.9589913,290.683
1684740580.9731743,290.683
1684740580.9873602,289.747
1684740581.0016413,289.747
1684740581.0163195,289.747
1684740581.030449,289.747
1684740581.0442698,289.747
1684740581.058448,289.747
1684740581.072653,289.747
1684740581.0874734,291.837
1684740581.10111,291.837
1684740581.117125,291.837
1684740581.129486,291.837
1684740581.1437347,291.837
1684740581.1579378,291.837
1684740581.172116,291.837
1684740581.1863415,291.837
1684740581.2005515,291.837
1684740581.2147608,291.837
1684740581.2289636,291.837
1684740581.2431736,291.837
1684740581.2587955,291.837
1684740581.2715292,291.837
1684740581.2857494,291.837
1684740581.2999632,290.347
1684740581.3141625,290.347
1684740581.3283553,290.347
1684740581.3425472,290.347
1684740581.3610587,290.347
1684740581.370954,290.347
1684740581.3851972,290.347
1684740581.3993864,293.046
1684740581.41358,293.046
1684740581.4277873,293.046
1684740581.442012,293.046
1684740581.456546,293.046
1684740581.4703755,293.046
1684740581.4846108,293.046
1684740581.4993887,290.347
1684740581.5132926,290.347
1684740581.5272667,290.347
1684740581.5414355,290.347
1684740581.5556304,290.347
1684740581.5698445,290.347
1684740581.584072,290.347
1684740581.6000285,289.466
1684740581.6125124,289.466
1684740581.6267188,289.466
1684740581.6428347,289.466
1684740581.6553113,289.466
1684740581.669316,289.466
1684740581.6835165,289.466
1684740581.697666,293.647
1684740581.712251,293.647
1684740581.7261078,293.647
1684740581.7412286,293.647
1684740581.7544682,293.647
1684740581.7687047,293.647
1684740581.7829196,293.647
1684740581.797066,291.229
1684740581.8113213,291.229
1684740581.825553,291.229
1684740581.8469276,291.229
1684740581.871768,291.229
1684740581.892684,291.229
1684740581.9135768,292.438
1684740581.9245536,292.438
1684740581.9343214,292.438
1684740581.9447477,292.438
1684740581.9544525,292.438
1684740581.9711514,292.438
1684740581.9810174,292.438
1684740581.9909842,292.438
1684740582.0004263,296.04
1684740582.010383,296.04
1684740582.025501,296.04
1684740582.039176,296.04
1684740582.0530386,296.04
1684740582.0672004,296.04
1684740582.081361,296.04
1684740582.0961497,292.438
1684740582.1098044,292.438
1684740582.1261764,292.438
1684740582.1381779,292.438
1684740582.1524208,292.438
1684740582.1670952,292.438
1684740582.1807718,292.438
1684740582.1950111,292.438
1684740582.2091947,296.946
1684740582.2236087,296.946
1684740582.2376108,296.946
1684740582.2518733,296.946
1684740582.267945,296.946
1684740582.280174,296.946
1684740582.2943938,296.946
1684740582.3085957,293.374
1684740582.3227477,293.374
1684740582.3370173,293.374
1684740582.3512447,293.374
1684740582.3657951,293.374
1684740582.3796685,293.374
1684740582.393874,293.374
1684740582.4080741,294.528
1684740582.4222486,294.528
1684740582.4364967,294.528
1684740582.4507425,294.528
1684740582.4648466,294.528
1684740582.4790978,294.528
1684740582.4932861,294.528
1684740582.5089118,296.065
1684740582.5218384,296.065
1684740582.5359228,296.065
1684740582.5501182,296.065
1684740582.564296,296.065
1684740582.5785441,296.065
1684740582.5927784,296.065
1684740582.6069422,292.438
1684740582.6211386,292.438
1684740582.635855,292.438
1684740582.6524236,292.438
1684740582.6637378,292.438
1684740582.6779828,292.438
1684740582.6921895,292.438
1684740582.7063603,294.856
1684740582.720579,294.856
1684740582.7347713,294.856
1684740582.7507954,294.856
1684740582.763152,294.856
1684740582.7773862,294.856
1684740582.7915938,294.856
1684740582.8057835,299.036
1684740582.8200245,299.036
1684740582.8342173,299.036
1684740582.8484344,299.036
1684740582.8630056,299.036
1684740582.8771992,299.036
1684740582.8918457,299.036
1684740582.9052482,293.647
1684740582.919457,293.647
1684740582.933655,293.647
1684740582.948822,293.647
1684740582.962069,293.647
1684740582.9762416,293.647
1684740582.9922686,293.647
1684740583.0046175,298.763
1684740583.0188568,298.763
1684740583.0330696,298.763
1684740583.047358,298.763
1684740583.061525,298.763
1684740583.0756416,298.763
1684740583.0898314,298.763
1684740583.1040323,295.464
1684740583.11826,295.464
1684740583.1333172,295.464
1684740583.1467443,295.464
