,GPU0,GPU1,GPU2,GPU3,GPU4,GPU5,GPU6,GPU7
count,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
mean,65.42124000000001,61.99549666666667,67.288585,64.86055166666668,63.52159833333334,60.15049833333333,64.80540500000001,61.41328666666666
std,0.505712788818539,0.48870863528885894,0.812344394412589,1.2108378412461103,1.3971646570090483,1.9098468791590621,2.2594429250431496,3.0631440896588984
min,64.748,61.37,66.561,64.126,62.717,59.073,63.656000000000006,59.826
25%,65.283,61.707,66.842,64.46600000000001,63.04600000000001,59.408,63.93,60.223
50%,65.35,61.98,67.171,64.46600000000001,63.11,59.736000000000004,63.995,60.496
75%,65.686,61.98,67.444,64.804,63.38399999999999,59.736000000000004,64.26899999999999,60.824
max,75.191,68.312,74.057,73.831,71.232,69.61,76.229,98.155
