,GPU0,GPU1,GPU2,GPU3,GPU4,GPU5,GPU6,GPU7
count,3037.0,3037.0,3037.0,3037.0,3037.0,3037.0,3037.0,3037.0
mean,77.25706980572933,74.0717033256503,78.80815146526176,76.37816924596642,74.32255054329931,71.32420777082648,75.68234408956206,72.42066381297332
std,1.2828621185271252,1.4562781664419306,1.5640418931683482,1.5133491865867166,1.446698605413376,1.3550959064377954,1.6812989617426919,1.6429764479791882
min,65.07600000000001,61.707,66.62899999999999,64.191,62.507,67.513,63.656000000000006,62.316
25%,76.40100000000001,73.098,77.64399999999999,75.32300000000001,73.32300000000001,70.54899999999999,74.469,71.28699999999999
50%,77.28399999999999,73.98100000000001,78.574,76.266,74.132,71.36,75.345,72.169
75%,78.166,75.11399999999999,79.786,77.405,75.093,72.036,76.84,73.38
max,81.88,78.694,85.742,81.365,80.752,77.168,80.834,77.813
