time,GPU0,GPU1,GPU2,GPU3,GPU4,GPU5,GPU6,GPU7
6.901100277900696e-07,75.191,68.312,73.783,73.831,71.232,68.124,71.835,67.711
1.0000016214326024,66.287,61.643,67.444,64.466,63.046,59.736,64.606,61.105
2.000002252869308,65.686,61.98,67.444,64.804,63.11,59.408,64.269,64.681
3.0000029699876904,67.102,64.007,68.992,65.013,63.11,59.408,64.204,64.408
4.000003640539944,65.892,62.589,67.239,69.345,63.11,59.736,72.036,69.124
5.000004242174327,65.686,61.98,67.444,70.508,63.93,60.01,74.743,69.468
6.00000508595258,65.686,62.316,67.171,64.466,63.046,59.736,63.93,60.223
7.000005618669093,65.686,62.316,67.171,64.466,63.11,59.408,64.269,60.223
8.00000626128167,65.686,61.707,67.78,64.804,63.11,59.675,63.93,60.223
9.000006945803761,65.35,62.316,68.054,64.466,63.384,60.01,64.269,60.223
10.000825320370495,65.686,61.98,67.444,64.738,63.32,59.736,64.204,60.496
11.000825835391879,65.35,61.916,67.171,65.013,65.209,59.736,64.204,60.496
12.000826339237392,65.959,62.589,67.444,64.804,68.522,60.01,63.995,60.496
13.000827946700156,65.686,62.316,67.513,64.804,63.32,61.833,63.995,60.762
14.000828561373055,65.283,61.98,67.171,64.466,63.384,66.027,64.269,60.496
15.000829708762467,65.283,61.98,67.171,64.804,63.11,68.726,64.269,60.161
16.000830185599625,65.892,62.525,68.452,65.079,63.32,59.408,64.54,60.496
17.000830660574138,65.35,61.98,67.171,64.401,63.11,60.347,63.995,60.223
18.000831368379295,66.287,62.589,67.171,64.804,63.046,59.736,63.93,60.161
19.00083203520626,65.35,62.316,67.171,64.466,63.11,60.347,63.93,60.496
20.00083263311535,65.618,61.98,67.171,64.466,63.32,59.408,64.204,60.824
21.00083313137293,65.283,62.252,67.171,64.466,62.781,60.01,64.204,60.496
22.000833650119603,66.287,65.216,67.171,65.079,63.384,60.01,63.93,60.824
23.000834118574858,65.35,61.98,67.171,64.804,63.384,59.408,64.204,60.223
24.00083464756608,65.35,61.98,67.171,64.466,63.046,59.408,64.204,60.496
25.00083506666124,65.35,61.98,67.171,64.466,63.11,59.736,63.995,60.824
26.000835596583784,65.618,61.98,66.911,64.466,63.11,59.408,63.995,60.496
27.00083617772907,65.35,61.707,71.36,65.079,63.11,60.01,63.995,63.19
28.000836717896163,65.686,61.98,66.842,67.185,63.32,59.408,63.93,66.774
29.00083725899458,65.35,61.98,67.444,69.895,63.11,59.408,64.606,68.585
30.00083778053522,65.35,62.316,67.171,64.804,63.11,59.408,64.269,69.724
31.00083830114454,65.076,61.98,66.842,64.466,63.384,59.736,67.513,74.59
32.00083895493299,65.35,61.707,67.239,64.804,63.384,59.736,70.823,60.223
33.00083962734789,65.686,61.707,66.842,64.466,63.32,60.347,72.646,60.496
34.00105428043753,65.35,61.707,67.78,65.079,64.606,60.01,63.995,61.043
35.00105478428304,65.35,62.316,67.171,64.466,67.308,59.408,63.93,60.496
36.0010553272441,65.283,62.525,67.444,64.466,71.159,59.675,63.93,60.223
37.00105625297874,65.959,62.316,67.444,64.466,63.384,61.833,64.814,60.824
38.00105663668364,65.686,61.707,67.444,65.079,63.384,65.076,64.269,60.223
39.00105714146048,65.686,61.98,66.842,64.466,63.11,68.726,63.93,60.223
40.00105761550367,65.076,61.98,66.842,64.466,63.11,69.61,63.995,60.496
41.00105797126889,65.283,61.98,67.171,64.466,62.781,59.408,63.93,60.223
42.00105854682624,65.35,62.316,66.842,64.804,63.32,59.408,64.269,60.223
43.00105893332511,65.35,61.98,67.171,65.409,63.046,59.408,63.93,60.223
44.00105958990753,65.283,61.98,67.171,64.401,63.046,59.736,64.606,60.161
45.001060066744685,65.35,62.316,67.444,64.466,63.11,59.408,63.995,60.223
46.00106065347791,65.959,63.19,66.842,65.013,63.11,59.408,63.93,60.496
47.001061151735485,65.35,61.98,67.444,64.466,63.32,59.408,63.995,60.223
48.00106165930629,65.35,61.707,67.444,64.804,63.046,59.736,63.93,60.824
49.00106212776154,65.686,62.316,68.382,64.804,63.11,59.736,64.204,60.824
50.001062696799636,65.283,61.98,67.171,64.804,63.11,59.408,63.93,60.496
51.001063094474375,65.076,61.707,66.911,64.466,63.384,59.736,63.93,60.496
52.00106349494308,65.35,62.917,67.239,64.804,63.32,59.134,64.204,60.223
53.00106405373663,65.35,61.707,66.842,64.738,63.11,59.736,64.814,60.223
54.00106458365917,65.35,61.707,67.171,68.402,63.046,59.736,63.93,61.433
55.001065174117684,65.686,61.98,67.171,70.225,63.046,60.347,63.93,63.19
56.001065655611455,65.35,61.98,67.171,64.466,63.32,59.736,64.269,66.706
57.001066191121936,65.35,61.98,67.444,64.466,63.995,60.01,64.204,69.796
58.00106677226722,65.35,61.707,66.842,64.466,68.726,59.736,63.93,68.312
59.00106748472899,65.283,62.316,67.85,64.126,69.336,59.736,63.995,60.223
60.00106796622276,65.35,61.643,67.171,64.804,62.781,62.107,67.308,60.223
61.00130272842944,65.35,61.98,67.78,64.804,63.11,65.143,70.22,61.105
62.001303190365434,65.35,61.98,66.842,64.466,63.384,68.124,71.762,59.826
63.001303744502366,65.283,62.316,67.171,64.804,63.11,59.134,75.017,60.223
64.00130422785878,65.35,61.916,67.171,64.804,63.11,59.408,74.469,60.223
65.00130475126207,65.35,61.98,67.171,64.466,63.384,59.736,64.54,60.223
66.00130531657487,65.35,61.707,66.911,64.804,63.11,60.62,64.204,60.223
67.00130586046726,65.686,61.98,67.171,64.466,63.11,59.408,63.995,59.887
68.0013062953949,65.076,61.98,66.842,64.466,63.11,59.736,63.93,60.223
69.00130722112954,65.35,61.98,66.842,64.466,63.384,59.408,63.656,60.223
70.00130774732679,65.35,61.98,67.444,64.466,63.384,59.736,64.54,60.496
71.00130825396627,65.283,61.916,67.171,64.466,63.32,59.408,63.93,60.223
72.00130912940949,65.618,61.707,67.239,64.804,63.11,59.736,64.606,60.223
73.00130952615291,65.283,61.707,71.36,65.409,63.11,60.01,63.721,60.496
74.00131021346897,65.35,61.98,67.171,64.401,63.11,59.408,64.204,60.223
75.00131071079522,65.35,61.916,67.444,65.013,63.656,59.408,63.995,60.496
76.00131114851683,65.35,61.98,67.239,64.466,63.11,59.736,64.204,60.496
77.00131189730018,65.35,61.916,67.78,64.804,63.11,59.408,63.656,59.887
78.0013124756515,65.618,61.98,66.842,67.446,63.384,59.408,63.93,60.223
79.0013130446896,65.076,61.707,66.842,64.804,63.384,59.408,63.995,60.496
80.00133782811463,65.959,61.707,67.444,64.804,63.11,59.736,64.204,64.408
81.00133834872395,65.686,62.316,67.171,64.738,63.995,59.736,63.656,65.892
82.00133886747062,65.076,61.707,67.444,64.401,67.513,59.408,63.93,67.915
83.00133941788226,65.959,62.589,68.054,64.738,69.336,59.347,64.54,67.711
84.00133993849158,65.35,62.316,67.444,65.079,63.11,60.347,63.93,59.887
85.00134055968374,65.283,62.316,67.171,64.401,63.384,63.656,64.269,60.496
86.00134110078216,65.892,62.316,67.171,64.466,63.11,66.629,63.995,60.496
87.00134152173996,65.35,61.707,66.842,64.804,63.046,59.736,64.54,60.434
88.0013420432806,65.686,61.98,67.171,64.466,63.384,59.408,67.85,60.496
