Time(ms),Power(mW)
53200,190242
53300,189633
53400,189633
53500,189633
53600,189633
53700,191584
53800,192061
53900,189969
54000,189633
54100,191780
54200,192061
54300,192061
54400,192061
54500,192334
54600,192061
54700,192061
54800,192334
54900,192061
55000,192334
55100,189969
55200,189633
55300,191780
55400,192334
55500,189969
55600,189633
55700,191780
55800,192061
55900,192137
56000,192061
56100,192334
56200,190242
56300,189633
56400,189633
56500,189633
56600,189633
56700,189633
56800,191780
56900,192061
57000,190242
57100,189633
57200,191780
57300,192061
57400,189969
57500,189633
57600,189633
57700,191584
57800,191864
57900,189969
58000,189633
58100,189633
58200,189633
58300,189633
58400,191780
58500,192061
58600,189633
58700,191780
58800,192061
58900,189969
59000,189633
59100,189633
59200,189633
59300,189633
59400,189633
59500,189633
59600,189633
59700,189633
59800,189633
59900,191780
60000,192334
60100,192334
60200,189969
60300,189633
60400,189633
60500,189633
60600,191780
60700,192334
60800,189969
60900,189633
61000,191780
61100,192137
61200,190242
61300,189633
61400,191780
61500,192334
61600,189969
61700,189633
61800,189633
61900,189633
62000,189633
62100,189633
62200,189633
62300,189633
62400,189439
62500,191864
62600,192334
62700,192334
62800,189969
62900,189633
63000,191780
63100,192334
63200,192334
63300,189969
63400,189969
63500,192061
63600,192334
63700,192334
63800,189969
63900,189633
64000,189969
64100,192061
64200,192334
64300,189969
64400,189969
64500,189633
64600,189633
64700,189633
64800,192061
64900,192334
65000,190242
65100,189969
65200,189969
65300,191864
65400,192334
65500,190242
65600,189969
65700,192334
65800,192334
65900,190242
66000,189969
66100,189969
66200,189969
66300,189633
66400,189969
66500,189633
66600,189633
66700,189633
66800,189633
66900,189633
67000,189633
67100,189633
67200,189969
67300,189633
67400,189633
67500,189633
67600,192061
67700,192334
67800,190242
67900,189969
68000,191864
68100,192334
68200,190242
68300,189969
68400,192061
68500,192334
68600,192334
68700,192334
68800,192334
68900,192137
69000,192334
69100,192334
69200,190242
69300,189969
69400,189969
69500,189969
69600,189969
69700,191864
69800,192137
69900,190242
70000,189969
70100,192061
70200,192334
70300,190242
70400,189969
70500,189969
70600,192061
70700,192334
70800,192137
70900,192334
71000,190570
71100,189969
71200,192061
71300,192334
71400,192334
71500,192334
71600,190242
71700,189969
71800,191864
71900,192334
72000,190242
72100,189774
72200,189969
72300,192061
72400,192334
72500,189969
72600,192061
72700,192334
72800,192334
72900,192334
73000,190242
73100,189969
73200,192061
73300,192334
73400,190242
73500,189969
73600,189969
73700,189969
73800,192061
73900,192334
74000,192334
74100,192334
74200,192137
74300,192334
74400,192137
74500,192334
74600,192334
74700,192334
74800,192334
74900,192334
75000,192334
75100,192334
75200,190242
75300,189969
75400,189969
75500,192061
75600,192334
75700,190242
75800,189969
75900,189969
76000,189969
76100,189969
76200,191179
76300,190570
76400,190570
76500,192936
76600,192936
76700,193271
76800,190851
76900,190851
77000,190570
77100,190851
77200,190570
77300,192936
77400,193271
77500,191179
77600,190570
77700,190375
77800,190851
77900,190570
78000,190570
78100,192738
78200,193073
78300,191179
78400,190570
78500,190851
78600,190570
78700,190851
78800,190851
78900,190851
79000,190570
79100,190570
79200,190570
79300,190570
79400,190851
79500,190570
79600,190570
79700,190851
79800,190570
79900,190570
80000,190570
80100,190570
80200,192936
80300,193073
80400,191179
80500,190851
80600,190851
80700,190570
80800,190851
80900,190570
81000,190570
81100,190851
81200,190375
81300,190570
81400,190570
81500,190570
81600,190570
81700,190570
81800,190570
81900,190570
82000,190570
82100,190570
82200,190570
82300,190570
82400,190851
82500,190570
82600,190570
82700,190375
82800,190375
82900,190570
83000,190851
83100,190375
83200,190375
83300,190851
83400,190570
83500,190851
83600,190851
83700,190851
83800,190570
83900,190570
84000,192936
84100,193271
84200,191179
84300,190851
84400,190851
84500,190655
84600,192936
84700,193271
84800,191179
84900,190851
85000,190851
85100,190851
85200,192936
85300,193271
85400,193271
85500,191179
85600,190570
85700,190851
85800,190851
85900,190851
86000,190851
86100,190851
86200,190655
86300,192936
86400,193271
86500,191179
86600,190851
86700,192936
86800,193271
86900,191179
87000,190851
87100,193073
87200,190851
87300,190851
87400,192738
87500,193271
87600,193271
87700,193271
87800,193271
87900,191179
88000,190570
88100,192936
88200,193271
88300,193271
88400,193271
88500,193073
88600,193271
88700,191179
88800,190851
88900,192936
89000,193073
89100,191179
89200,190851
89300,190851
89400,192936
89500,193271
89600,190851
89700,190570
89800,190851
89900,190851
90000,192936
90100,193271
90200,191179
90300,190655
90400,190851
90500,190851
90600,190851
90700,190851
90800,190851
90900,190851
91000,190851
91100,190570
91200,190851
91300,190851
91400,192936
91500,193271
91600,191179
91700,190851
91800,190851
91900,192936
92000,193271
92100,190851
92200,190851
92300,190851
92400,190851
92500,190851
92600,190851
92700,190851
92800,190851
92900,190851
93000,192936
93100,191179
93200,190851
93300,190570
93400,190851
93500,190851
93600,190851
93700,190655
93800,190570
93900,190851
94000,190851
94100,190851
94200,190851
94300,190851
94400,190851
94500,190851
94600,190851
94700,190655
94800,190851
94900,190851
95000,190851
95100,190851
95200,190851
95300,190655
95400,190851
95500,190655
95600,190851
95700,190851
95800,190851
95900,192936
96000,193271
96100,191179
96200,190851
96300,190851
96400,190851
96500,190851
96600,190851
96700,190851
96800,190570
96900,190655
97000,190851
97100,190851
97200,190851
97300,190851
97400,190851
97500,190851
97600,190851
97700,190655
97800,190851
97900,192936
98000,193271
98100,191179
98200,190851
98300,190851
98400,190851
98500,190851
98600,190851
98700,192936
98800,193271
98900,191179
99000,190851
99100,190851
99200,190570
99300,190851
99400,190851
99500,190851
99600,190851
99700,190851
99800,190851
99900,190851
100000,190851
100100,190851
100200,190851
100300,190851
100400,190851
100500,190570
100600,190851
100700,190851
100800,190570
100900,190851
101000,190851
101100,190851
101200,192936
101300,193271
101400,193271
101500,191179
101600,190851
101700,190851
101800,190851
101900,190851
102000,190851
102100,190851
102200,190851
102300,190851
102400,190851
102500,190851
102600,190655
102700,190851
102800,190851
102900,190851
103000,190851
103100,190851
103200,190851
103300,192738
103400,193271
103500,193271
103600,191179
103700,190851
103800,190851
103900,190851
104000,190655
104100,190851
104200,190851
104300,190851
104400,190655
104500,190851
104600,190655
104700,192936
104800,193271
104900,191179
105000,190655
105100,190851
105200,190851
105300,192936
105400,193271
105500,191179
105600,190851
105700,190655
105800,190851
105900,192936
106000,191179
106100,190851
106200,190851
106300,190851
106400,190851
106500,190851
106600,190655
106700,190570
106800,190851
106900,190375
107000,190851
107100,190851
107200,190851
107300,190851
107400,190851
107500,190851
107600,190655
107700,190851
107800,190851
107900,190851
108000,192936
108100,193271
108200,193271
108300,191179
108400,190851
108500,190851
108600,192936
108700,193073
108800,191179
108900,190851
109000,190851
109100,190851
109200,190851
109300,190851
109400,190851
109500,190851
109600,190851
109700,190851
109800,190851
109900,190851
110000,190851
110100,190851
110200,190851
110300,190851
110400,190851
110500,190655
110600,190851
110700,190655
110800,190655
110900,190851
111000,190851
111100,190851
111200,190851
111300,190851
111400,190851
111500,190851
111600,190851
111700,190655
111800,190851
111900,190851
112000,190851
112100,190851
112200,190851
112300,190851
112400,190851
112500,190851
112600,192738
112700,193271
112800,191179
112900,190851
113000,192936
113100,193271
113200,191179
113300,190655
113400,190851
113500,190851
113600,190851
113700,190851
113800,190655
113900,190655
114000,190851
114100,192936
114200,193271
114300,191179
114400,190851
114500,190851
114600,190851
114700,190851
114800,190851
114900,190851
115000,190655
115100,190851
115200,190851
115300,190655
115400,190851
115500,190851
115600,190851
115700,190851
115800,190851
115900,190851
116000,190655
116100,190851
116200,190851
116300,190655
116400,190851
116500,190851
116600,190851
116700,190851
116800,190851
116900,190851
117000,190851
117100,190851
117200,190851
117300,190851
117400,190851
117500,190851
117600,190851
117700,190851
117800,190851
117900,190851
118000,190851
118100,192936
118200,193271
118300,191179
118400,190851
118500,190851
118600,190851
118700,190851
118800,190851
118900,190655
119000,192936
119100,193073
119200,190983
119300,190851
119400,190851
119500,190851
119600,192936
119700,193271
119800,191179
119900,190851
120000,190851
120100,190851
120200,190851
120300,190851
120400,190851
120500,192936
120600,193271
120700,191179
120800,190851
120900,192936
121000,193271
121100,191179
121200,190851
121300,190655
121400,190851
121500,192738
121600,193271
121700,193271
121800,193271
121900,193271
122000,193271
122100,193073
122200,191179
122300,190851
122400,192936
122500,193271
122600,191179
122700,190851
122800,192936
122900,193271
123000,191179
123100,190851
123200,190851
123300,190851
123400,190655
123500,190851
123600,190851
123700,190851
123800,190655
123900,190655
124000,190851
124100,190851
124200,190851
124300,190851
124400,190851
124500,190851
124600,190851
124700,190851
124800,190851
124900,190851
125000,190851
125100,190851
125200,190851
125300,190655
125400,190851
125500,190851
125600,190851
125700,190851
125800,190851
125900,190851
126000,190851
126100,190655
126200,190851
126300,190851
126400,190851
126500,190851
126600,190375
126700,192936
126800,193271
126900,190655
127000,190851
127100,190851
127200,190851
127300,190851
127400,190851
127500,190851
127600,190851
127700,190851
127800,190851
127900,190851
128000,190851
128100,190570
128200,190851
128300,190851
128400,190851
128500,190851
128600,192936
128700,193271
128800,193073
128900,193271
129000,191179
129100,190655
129200,190851
129300,190851
129400,192936
129500,193073
129600,191179
129700,190655
129800,190851
129900,190851
130000,190851
130100,190851
130200,190851
130300,190375
130400,190851
130500,190851
130600,190655
130700,190851
130800,190851
130900,190655
131000,190851
131100,190851
131200,190851
131300,190851
131400,190851
131500,192936
131600,193073
131700,190983
131800,190655
131900,192936
132000,193271
132100,191179
132200,190851
132300,190851
132400,190851
132500,190655
132600,190851
132700,190851
132800,190851
132900,190655
133000,190851
133100,190851
133200,190851
133300,190851
133400,192738
133500,193271
133600,191179
133700,190851
133800,190851
133900,190851
134000,190851
134100,190851
134200,190570
134300,190851
134400,190851
134500,190851
134600,190851
134700,190851
134800,190851
134900,190851
135000,190655
