,GPU0,GPU1,GPU2,GPU3,GPU4,GPU5,GPU6,GPU7
count,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
mean,59.08263999999999,55.71097499999998,60.314843333333314,58.15845166666667,56.937093333333344,53.45414166666668,57.680004999999994,54.21778833333334
std,0.060388727402793205,0.023996543469789737,0.035589649630527936,0.013689777715948303,0.16851124003733764,0.04673651784978527,0.02718670330132187,0.014986255156917719
min,59.013000000000005,55.653,60.285,58.099,56.701,53.446000000000005,57.638999999999996,54.163000000000004
25%,59.073,55.71,60.285,58.158,56.75899999999999,53.446000000000005,57.638999999999996,54.218999999999994
50%,59.073,55.71,60.285,58.158,57.066,53.446000000000005,57.698,54.218999999999994
75%,59.073,55.71,60.347,58.158,57.095,53.446000000000005,57.698,54.218999999999994
max,59.347,56.038000000000004,60.62,58.488,57.095,53.727,57.698,54.5
