,GPU0,GPU1,GPU2,GPU3,GPU4,GPU5,GPU6,GPU7
count,2953.0,2953.0,2953.0,2953.0,2953.0,2953.0,2953.0,2953.0
mean,59.24538503217067,55.728829664747714,60.38429529292244,58.159711818489676,57.08861869285474,53.57722011513715,57.68229664747714,54.21986454453099
std,0.13080859796524663,0.07728017017554101,0.11956441736537961,0.02627875736399584,0.028357370531608916,0.1403285161837095,0.03478684676126286,0.03177146660204469
min,59.013000000000005,55.653,60.285,58.099,56.75899999999999,53.446000000000005,57.638999999999996,54.163000000000004
25%,59.073,55.71,60.285,58.158,57.095,53.446000000000005,57.638999999999996,54.218999999999994
50%,59.347,55.71,60.347,58.158,57.095,53.446000000000005,57.698,54.218999999999994
75%,59.347,55.71,60.347,58.158,57.095,53.727,57.698,54.218999999999994
max,59.347,56.038000000000004,60.62,58.488,57.095,53.782,57.98,54.5
