Time(ms),Power(mW)
0,65009
100,64748
200,64681
300,64681
400,64748
500,64681
600,64748
700,64748
800,64681
900,64681
1000,64681
1100,64681
1200,64748
1300,64681
1400,64681
1500,64748
1600,64681
1700,64681
1800,64748
1900,64681
2000,129004
2100,140392
2200,135414
2300,232241
2400,249583
2500,238911
2600,249655
2700,248173
2800,239756
2900,251745
3000,241574
3100,240338
3200,253227
3300,241574
3400,255926
3500,253508
3600,241847
3700,253508
3800,244546
3900,241574
4000,254444
4100,242783
4200,258016
4300,254108
4400,238875
4500,170305
4600,164811
4700,162110
4800,87192
4900,85982
5000,85380
5100,85380
5200,84498
5300,84170
5400,83889
5500,83975
5600,83561
5700,83647
5800,83561
5900,83647
6000,83647
6100,83889
6200,84170
6300,83561
6400,83561
6500,83373
