Time(ms),Power(mW)
0,66561
100,65892
200,65959
300,65892
400,66220
500,66220
600,66220
700,66220
800,66220
900,66220
1000,66287
1100,66287
1200,66220
1300,66220
1400,66220
1500,66220
1600,66287
1700,66220
1800,65892
1900,70077
2000,142902
2100,247237
2200,252353
2300,246204
2400,246983
2500,235576
2600,234975
2700,237947
2800,238875
2900,238875
3000,238547
3100,249928
3200,249928
3300,250263
3400,250263
3500,250536
3600,240885
3700,240638
3800,240638
3900,240638
4000,240638
4100,250809
4200,250809
4300,251144
4400,251144
4500,253835
4600,247237
4700,241246
4800,244265
4900,244873
5000,241847
5100,241246
5200,253835
5300,254444
5400,251745
5500,251417
5600,251144
5700,242455
5800,244873
5900,241246
6000,244873
6100,241574
6200,255653
6300,255926
6400,252954
6500,255391
6600,255926
6700,243079
6800,242455
6900,245474
7000,246028
7100,243056
7200,248719
7300,255317
7400,255926
7500,252954
7600,252626
7700,255653
7800,246028
7900,243329
8000,242783
8100,245755
8200,246028
8300,252626
8400,252018
8500,255317
8600,252626
8700,252353
8800,249054
8900,245755
9000,243056
9100,242174
9200,245474
9300,245755
9400,253508
9500,253227
9600,256199
9700,256526
9800,253835
9900,243664
10000,246028
10100,246628
10200,242807
10300,246628
10400,243414
10500,252626
10600,255926
10700,256199
10800,253508
10900,252954
11000,246355
11100,246355
11200,243056
11300,243056
11400,194282
11500,170305
11600,169871
11700,169598
11800,169270
11900,168661
12000,164483
12100,164483
12200,158807
12300,164642
12400,164811
12500,96772
12600,87473
12700,87192
12800,85982
12900,85982
13000,85654
13100,85380
13200,85380
13300,85380
13400,85380
13500,85099
13600,85099
13700,85099
13800,85099
13900,84771
14000,84858
14100,84771
14200,84771
14300,66220
14400,66220
