timestamp,power_usage
1684823722.2737527,66.774
1684823722.2796447,66.774
1684823722.28715,66.774
1684823722.2933798,66.774
1684823722.2991698,66.774
1684823722.305033,66.774
1684823722.31082,66.774
1684823722.3166065,66.774
1684823722.3233325,66.774
1684823722.329126,167.786
1684823722.334922,167.786
1684823722.3426776,167.786
1684823722.3484597,167.786
1684823722.3542445,167.786
1684823722.360023,167.786
1684823722.3658702,167.786
1684823722.3716495,167.786
1684823722.3774352,167.786
1684823722.3832824,167.786
1684823722.3890727,167.786
1684823722.3952582,167.786
1684823722.4030433,167.786
1684823722.408838,167.786
1684823722.4146361,167.786
1684823722.4204278,167.786
1684823722.4262297,189.086
1684823722.43201,189.086
1684823722.437783,189.086
1684823722.4443736,189.086
1684823722.4501665,189.086
1684823722.455956,189.086
1684823722.4634943,189.086
1684823722.4692802,189.086
1684823722.4750729,189.086
1684823722.4809525,189.086
1684823722.4883842,189.086
1684823722.493926,189.086
1684823722.49908,189.086
1684823722.5042036,189.086
1684823722.509393,189.086
1684823722.5143728,189.086
1684823722.519347,189.086
1684823722.5244453,189.086
1684823722.5296137,280.449
1684823722.5360327,280.449
1684823722.5410268,280.449
1684823722.5460963,280.449
1684823722.5510638,280.449
1684823722.5560327,280.449
1684823722.5610063,280.449
1684823722.5660474,280.449
1684823722.571022,280.449
1684823722.5759985,280.449
1684823722.5809786,280.449
1684823722.5860348,280.449
1684823722.591003,280.449
1684823722.5979671,280.449
1684823722.6051054,280.449
1684823722.6100876,280.449
1684823722.6150582,280.449
1684823722.6200376,280.449
1684823722.6251335,280.449
1684823722.630109,290.956
1684823722.635089,290.956
1684823722.6400824,290.956
1684823722.6454494,290.956
1684823722.6505125,290.956
1684823722.6554914,290.956
1684823722.6604645,290.956
1684823722.6655047,290.956
1684823722.670476,290.956
1684823722.6754487,290.956
1684823722.6804218,290.956
1684823722.7151089,290.956
1684823722.7213206,290.956
1684823722.7340894,290.956
1684823722.740189,168.114
1684823722.7621212,168.114
1684823722.7683315,168.114
1684823722.7733188,168.114
1684823722.7782907,168.114
1684823722.7832687,168.114
1684823722.7883704,168.114
1684823722.7933512,168.114
1684823722.7986326,168.114
1684823722.8036258,168.114
1684823722.808668,168.114
1684823722.8136492,168.114
1684823722.8186338,168.114
1684823722.8236122,168.114
1684823722.8286643,168.114
1684823722.8336458,291.556
1684823722.8386312,291.556
1684823722.843874,291.556
1684823722.8489316,291.556
1684823722.8540103,291.556
1684823722.858984,291.556
1684823722.8639643,291.556
1684823722.8690119,291.556
1684823722.8739932,291.556
1684823722.8789766,291.556
1684823722.8841472,291.556
1684823722.9244306,291.556
1684823722.960713,131.51
1684823722.9668314,131.51
1684823722.9861078,131.51
1684823722.9930875,131.51
1684823722.9981108,131.51
1684823723.003269,131.51
1684823723.0082552,131.51
1684823723.013305,131.51
1684823723.018273,131.51
1684823723.0232491,131.51
1684823723.0282307,131.51
1684823723.0332866,131.51
1684823723.0382588,298.155
1684823723.0433018,298.155
1684823723.048289,298.155
1684823723.0533242,298.155
1684823723.0583932,298.155
1684823723.0633748,298.155
1684823723.0683477,298.155
1684823723.0733988,298.155
1684823723.078385,298.155
1684823723.0833635,298.155
1684823723.0886743,298.155
1684823723.0937371,298.155
1684823723.0988517,298.155
1684823723.1039395,298.155
1684823723.1089227,298.155
1684823723.1139655,298.155
1684823723.118935,298.155
1684823723.123915,298.155
1684823723.1289077,298.155
1684823723.1339517,298.155
1684823723.138929,309.543
1684823723.1439111,309.543
1684823723.148893,309.543
1684823723.153945,309.543
1684823723.1593275,309.543
1684823723.164315,309.543
1684823723.169297,309.543
1684823723.1743429,309.543
1684823723.1793218,309.543
1684823723.184317,309.543
1684823723.189308,309.543
1684823723.1943607,309.543
1684823723.1993444,309.543
1684823723.2044353,309.543
1684823723.2094145,309.543
1684823723.2144542,309.543
1684823723.221511,309.543
1684823723.2264943,309.543
1684823723.233564,309.543
1684823723.2385461,254.978
1684823723.243535,254.978
1684823723.2485206,254.978
1684823723.253645,254.978
1684823723.2586305,254.978
1684823723.263691,254.978
1684823723.2686696,254.978
1684823723.2737732,254.978
1684823723.2787569,254.978
1684823723.2837358,254.978
1684823723.2887156,254.978
1684823723.294104,254.978
1684823723.2992218,254.978
1684823723.3045382,254.978
1684823723.3095334,254.978
1684823723.3145826,254.978
1684823723.3195543,254.978
1684823723.3245344,254.978
1684823723.3295147,254.978
1684823723.3345625,254.978
1684823723.339536,313.388
1684823723.3445263,313.388
1684823723.34951,313.388
1684823723.3545496,313.388
1684823723.3595283,313.388
1684823723.3646088,313.388
1684823723.3695939,313.388
1684823723.3746526,313.388
1684823723.3796315,313.388
1684823723.3845966,313.388
1684823723.3895695,313.388
1684823723.3946962,313.388
1684823723.399677,313.388
1684823723.4050186,313.388
1684823723.4100184,313.388
1684823723.4150605,313.388
1684823723.4200437,313.388
1684823723.425026,313.388
1684823723.4300036,313.388
1684823723.4350448,313.388
1684823723.4400184,317.569
1684823723.4449914,317.569
1684823723.4499786,317.569
1684823723.4551697,317.569
1684823723.460151,317.569
1684823723.4652045,317.569
1684823723.4702826,317.569
1684823723.4753437,317.569
1684823723.4803236,317.569
1684823723.4853055,317.569
1684823723.4902916,317.569
1684823723.4956071,317.569
1684823723.5007448,317.569
1684823723.506352,317.569
1684823723.5116303,317.569
1684823723.5166836,317.569
1684823723.5217097,317.569
1684823723.526686,317.569
1684823723.5316772,317.569
1684823723.536717,317.569
1684823723.5416937,289.138
1684823723.5466845,289.138
1684823723.5516653,289.138
1684823723.556703,289.138
1684823723.5616906,289.138
1684823723.566807,289.138
1684823723.5718884,289.138
1684823723.5769432,289.138
1684823723.5819237,289.138
1684823723.5869086,289.138
1684823723.5918884,289.138
1684823723.596933,289.138
1684823723.6019113,289.138
1684823723.607269,289.138
1684823723.612253,289.138
1684823723.6172924,289.138
1684823723.6222591,289.138
1684823723.627238,289.138
1684823723.6322112,289.138
1684823723.6372645,289.138
1684823723.642234,305.908
1684823723.6472232,305.908
1684823723.652219,305.908
1684823723.6572783,305.908
1684823723.6622627,305.908
1684823723.6672413,305.908
1684823723.6723206,305.908
1684823723.6773837,305.908
1684823723.682366,305.908
1684823723.6873593,305.908
1684823723.6927083,305.908
1684823723.6977556,305.908
1684823723.7028868,305.908
1684823723.707967,305.908
1684823723.7129452,305.908
1684823723.7180052,305.908
1684823723.722969,305.908
1684823723.7279496,305.908
1684823723.7329204,305.908
1684823723.7379708,305.908
1684823723.742954,289.466
1684823723.7479362,289.466
1684823723.7529166,289.466
1684823723.7579582,289.466
1684823723.7629337,289.466
1684823723.767919,289.466
1684823723.773253,289.466
1684823723.7783,289.466
1684823723.783287,289.466
1684823723.7882605,289.466
1684823723.7932503,289.466
1684823723.7983193,289.466
1684823723.8033047,289.466
1684823723.8083863,289.466
1684823723.8133683,289.466
1684823723.8184175,289.466
1684823723.8234103,289.466
1684823723.828389,289.466
1684823723.8348086,289.466
1684823723.8402255,321.805
1684823723.8452172,321.805
1684823723.850197,321.805
1684823723.855179,321.805
1684823723.8602183,321.805
1684823723.865197,321.805
1684823723.870177,321.805
1684823723.8753505,321.805
1684823723.880394,321.805
1684823723.885384,321.805
1684823723.890368,321.805
1684823723.8997202,321.805
1684823723.9295294,321.805
1684823723.9359903,321.805
1684823723.9489512,188.149
1684823723.95525,188.149
1684823723.969291,188.149
1684823723.981025,188.149
1684823723.9861677,188.149
1684823723.9911637,188.149
1684823723.9961548,188.149
1684823724.001766,188.149
1684823724.006765,188.149
1684823724.0123134,188.149
1684823724.0174632,188.149
1684823724.022509,188.149
1684823724.0274906,188.149
1684823724.0324733,188.149
1684823724.0374622,188.149
1684823724.0425148,188.149
1684823724.0474896,302.944
1684823724.0524747,302.944
1684823724.057454,302.944
1684823724.0625017,302.944
1684823724.0674803,302.944
1684823724.0742106,302.944
1684823724.0795608,302.944
1684823724.0846405,302.944
1684823724.089617,302.944
1684823724.0945942,302.944
1684823724.099677,302.944
1684823724.1053624,302.944
1684823724.1103373,302.944
1684823724.115422,302.944
1684823724.1203976,302.944
1684823724.125443,302.944
1684823724.1304157,302.944
1684823724.1354132,302.944
1684823724.1403863,302.944
1684823724.1453762,313.724
1684823724.150356,313.724
1684823724.1553328,313.724
1684823724.160319,313.724
1684823724.1653745,313.724
1684823724.1703668,313.724
1684823724.1753469,313.724
1684823724.1803293,313.724
1684823724.1854067,313.724
1684823724.1903856,313.724
1684823724.1953807,313.724
1684823724.2003617,313.724
1684823724.2054117,313.724
1684823724.2103953,313.724
1684823724.2154791,313.724
1684823724.220459,313.724
1684823724.2255142,313.724
1684823724.230491,313.724
1684823724.2354746,313.724
1684823724.240452,313.724
1684823724.2456157,335.548
1684823724.2505996,335.548
1684823724.2555852,335.548
1684823724.2605681,335.548
1684823724.265611,335.548
1684823724.2705812,335.548
1684823724.275643,335.548
1684823724.2806304,335.548
1684823724.2860277,335.548
1684823724.2910063,335.548
1684823724.2959971,335.548
1684823724.305358,335.548
1684823724.3345912,335.548
1684823724.3407974,335.548
1684823724.3526003,335.548
1684823724.358717,180.997
1684823724.3800352,180.997
1684823724.3868196,180.997
1684823724.3919137,180.997
1684823724.39689,180.997
1684823724.4018717,180.997
1684823724.408657,180.997
1684823724.4136467,180.997
1684823724.420342,180.997
1684823724.427268,180.997
1684823724.432252,180.997
1684823724.4372222,180.997
1684823724.4422038,180.997
1684823724.44726,180.997
1684823724.4522314,288.865
1684823724.4572172,288.865
1684823724.4621916,288.865
1684823724.4673157,288.865
1684823724.4722981,288.865
1684823724.4772801,288.865
1684823724.4822602,288.865
1684823724.487469,288.865
1684823724.4925573,288.865
1684823724.4988773,288.865
1684823724.5039642,288.865
1684823724.5113099,288.865
1684823724.5163815,288.865
1684823724.5215838,288.865
1684823724.527835,288.865
1684823724.532829,288.865
1684823724.5378096,288.865
1684823724.5427876,288.865
1684823724.5479906,288.865
1684823724.55298,293.927
1684823724.5579607,293.927
1684823724.5629401,293.927
1684823724.5681024,293.927
1684823724.5730782,293.927
1684823724.5780632,293.927
1684823724.5830379,293.927
1684823724.588159,293.927
1684823724.5933435,293.927
1684823724.598337,293.927
1684823724.6033177,293.927
1684823724.6083663,293.927
1684823724.6133494,293.927
1684823724.6190908,293.927
1684823724.6242287,293.927
1684823724.6292737,293.927
1684823724.634253,293.927
1684823724.6392376,293.927
1684823724.6442263,293.927
1684823724.6492836,293.927
1684823724.6542509,302.609
1684823724.6592145,302.609
1684823724.6641915,302.609
1684823724.6692383,302.609
1684823724.6742125,302.609
1684823724.6791906,302.609
1684823724.6841676,302.609
1684823724.6892161,302.609
1684823724.6942863,302.609
1684823724.6993566,302.609
1684823724.7047067,302.609
1684823724.7097564,302.609
1684823724.7148738,302.609
1684823724.721695,302.609
1684823724.726823,302.609
1684823724.731876,302.609
1684823724.7368648,302.609
1684823724.7418385,302.609
1684823724.7468271,302.609
1684823724.7521546,339.729
1684823724.7571394,339.729
1684823724.762111,339.729
1684823724.7670863,339.729
1684823724.7721329,339.729
1684823724.777109,339.729
1684823724.782091,339.729
1684823724.7870672,339.729
1684823724.792103,339.729
1684823724.7975533,339.729
1684823724.8025231,339.729
1684823724.8074944,339.729
1684823724.812535,339.729
1684823724.8175209,339.729
1684823724.8234715,339.729
1684823724.8284986,339.729
1684823724.8335388,339.729
1684823724.8385227,339.729
1684823724.8434906,339.729
1684823724.8484793,339.729
1684823724.853468,319.714
1684823724.8584635,319.714
1684823724.8634446,319.714
1684823724.8684278,319.714
1684823724.873486,319.714
1684823724.878467,319.714
1684823724.8834467,319.714
1684823724.8884413,319.714
1684823724.8934784,319.714
1684823724.8987703,319.714
1684823724.9038599,319.714
1684823724.9089222,319.714
1684823724.917415,319.714
1684823724.9225352,319.714
1684823724.9275303,319.714
1684823724.9325986,319.714
1684823724.937585,319.714
1684823724.9425607,319.714
1684823724.9475396,319.714
1684823724.9535239,317.296
1684823724.9585037,317.296
1684823724.9634855,317.296
1684823724.9684687,317.296
1684823724.9735138,317.296
1684823724.978492,317.296
1684823724.9834707,317.296
1684823724.98846,317.296
1684823724.9934945,317.296
1684823724.9984646,317.296
1684823725.003544,317.296
1684823725.008533,317.296
1684823725.013577,317.296
1684823725.018557,317.296
1684823725.02363,317.296
1684823725.028603,317.296
1684823725.0336645,317.296
1684823725.038646,317.296
1684823725.0436294,317.296
1684823725.0486157,317.296
1684823725.0541022,345.7
1684823725.0590835,345.7
1684823725.0640635,345.7
1684823725.0690427,345.7
1684823725.0740876,345.7
1684823725.0790596,345.7
1684823725.084032,345.7
1684823725.0890079,345.7
1684823725.094047,345.7
1684823725.0990336,345.7
1684823725.1044095,345.7
1684823725.10948,345.7
1684823725.116137,345.7
1684823725.1211367,345.7
1684823725.1263294,345.7
1684823725.1328998,345.7
1684823725.137883,345.7
1684823725.1428628,345.7
1684823725.147855,345.7
1684823725.1530025,345.7
1684823725.1579916,288.865
1684823725.162975,288.865
1684823725.1679568,288.865
1684823725.1731265,288.865
1684823725.1781113,288.865
1684823725.1830976,288.865
1684823725.1880891,288.865
1684823725.1932786,288.865
1684823725.198275,288.865
1684823725.2032619,288.865
1684823725.2083328,288.865
1684823725.2134132,288.865
1684823725.2184126,288.865
1684823725.2237551,288.865
1684823725.228738,288.865
1684823725.2337835,288.865
1684823725.2387655,288.865
1684823725.2437463,288.865
1684823725.248752,288.865
1684823725.2538104,288.865
1684823725.2588007,307.398
1684823725.2637868,307.398
1684823725.268765,307.398
1684823725.2738183,307.398
1684823725.2787979,307.398
1684823725.2837796,307.398
1684823725.288769,307.398
1684823725.2938209,307.398
1684823725.2988083,307.398
1684823725.3037813,307.398
1684823725.3095143,307.398
1684823725.3145788,307.398
1684823725.319701,307.398
1684823725.3247967,307.398
1684823725.3297741,307.398
1684823725.3348167,307.398
1684823725.341345,307.398
1684823725.3463542,307.398
1684823725.3513381,307.398
1684823725.3563583,325.104
1684823725.36134,325.104
1684823725.36632,325.104
1684823725.3713033,325.104
1684823725.3763516,325.104
1684823725.3813257,325.104
1684823725.3862967,325.104
1684823725.3912897,325.104
1684823725.3963351,325.104
1684823725.4013138,325.104
1684823725.4062943,325.104
1684823725.4115787,325.104
1684823725.4166303,325.104
1684823725.4216118,325.104
1684823725.4266915,325.104
1684823725.4316838,325.104
1684823725.4367251,325.104
1684823725.441701,325.104
1684823725.4466705,325.104
1684823725.4516487,325.104
1684823725.4569128,333.185
1684823725.461953,333.185
1684823725.4669333,333.185
1684823725.4719088,333.185
1684823725.4769537,333.185
1684823725.4819343,333.185
1684823725.486916,333.185
1684823725.4918828,333.185
1684823725.4969354,333.185
1684823725.5019176,333.185
1684823725.5068994,333.185
1684823725.5121968,333.185
1684823725.5179386,333.185
1684823725.523121,333.185
1684823725.528209,333.185
1684823725.5332024,333.185
1684823725.5382562,333.185
1684823725.54325,333.185
1684823725.5482354,333.185
1684823725.5532262,333.185
1684823725.5582104,334.675
1684823725.563193,334.675
1684823725.5681689,334.675
1684823725.5731604,334.675
1684823725.5782082,334.675
1684823725.5831954,334.675
1684823725.588179,334.675
1684823725.5931659,334.675
1684823725.5982249,334.675
1684823725.6032038,334.675
1684823725.6081889,334.675
1684823725.6131773,334.675
1684823725.6182458,334.675
1684823725.6232238,334.675
1684823725.6283052,334.675
1684823725.633276,334.675
1684823725.6383216,334.675
1684823725.6433,334.675
1684823725.6482801,334.675
1684823725.6532638,334.675
1684823725.6584888,326.586
1684823725.6634736,326.586
1684823725.6684537,326.586
1684823725.6734493,326.586
1684823725.678494,326.586
1684823725.6834846,326.586
1684823725.688473,326.586
1684823725.6934574,326.586
1684823725.6985104,326.586
1684823725.7034957,326.586
1684823725.7084944,326.586
1684823725.7135422,326.586
1684823725.7208683,326.586
1684823725.7261066,326.586
1684823725.731186,326.586
1684823725.7372103,326.586
1684823725.7421818,326.586
1684823725.7471557,326.586
1684823725.7521274,326.586
1684823725.7572656,326.586
1684823725.762236,308.935
1684823725.76948,308.935
1684823725.774556,308.935
1684823725.7796144,308.935
1684823725.7845979,308.935
1684823725.7895827,308.935
1684823725.79456,308.935
1684823725.7996168,308.935
1684823725.8046052,308.935
1684823725.8095882,308.935
1684823725.8145776,308.935
1684823725.8199053,308.935
1684823725.8249736,308.935
1684823725.8303845,308.935
1684823725.8354292,308.935
1684823725.8404872,308.935
1684823725.8454673,308.935
1684823725.8504527,308.935
1684823725.855436,308.935
1684823725.860429,313.997
1684823725.8654068,313.997
1684823725.870403,313.997
1684823725.8753886,313.997
1684823725.8804438,313.997
1684823725.885422,313.997
1684823725.890412,313.997
1684823725.8980067,313.997
1684823725.9029982,313.997
